,exergy_if_BL,exergy_c_BL,exergy_of_BL,exergy_if_sun,exergy_if_sky,exergy_if_gnd,exergy_if_cv,exergy_c_sun,exergy_c_rad,exergy_of_os,exergy_of_cd
383,248.95302324388848,251.62165801404262,-5.504600085120531,264.22373022964575,1.9919575369888083,0.25997246150349995,-17.522636984249583,247.29822779463873,4.323430219403876,2.90713779343204,-8.411737878552572
389,77.04387938986208,84.26973531731265,-9.692422535421375,86.08148600046579,1.707878128304574,0.34479174365049875,-11.090276482558775,81.56614671450669,2.7035886028059597,1.8289847140836524,-11.521407249505028
395,-4.829499938652256,1.561569329957879,-8.479664598805842,0.0,1.423476058937439,0.44176757115157117,-6.6947435687412655,0.0,1.561569329957879,1.098313729095311,-9.577978327901153
401,-3.232386240655246,1.0723228060034,-6.323329583136927,0.0,1.3087791362378167,0.5319185205784216,-5.073083897471484,0.0,1.0723228060034,0.794267695696221,-7.1175972788331485
407,-2.5005395246551565,0.7797136110846774,-5.278128228972051,0.0,1.203448072904258,0.6390558295753392,-4.343043427134754,0.0,0.7797136110846774,0.6484929817704317,-5.926621210742482
413,-1.9752546532478887,0.5701481854175464,-4.533145966050854,0.0,1.1096311977483153,0.7459984262690287,-3.8308842772652327,0.0,0.5701481854175464,0.5468290168835069,-5.079974982934361
419,-1.1090360512499888,0.4111957061773139,-3.436055698668003,0.0,1.0241582564948162,0.789462530712525,-2.92265683845733,0.0,0.4111957061773139,0.43204224870682784,-3.868097947374831
425,-0.6361494729173427,0.30912496092810465,-2.8042428086663262,0.0,0.9383845512664897,0.8395938884367367,-2.414127912620569,0.0,0.30912496092810465,0.3731979745474737,-3.1774407832138
431,-0.29516829183400795,0.23213952430043613,-2.3221200817620273,0.0,0.853862664213649,0.8801703605134858,-2.0292013165611427,0.0,0.23213952430043613,0.328811442679121,-2.650931524441148
437,-0.045871716920299344,0.18630966078282807,-2.0112207376236166,0.0,0.8006484472073797,0.9331279342494263,-1.7796480983771052,0.0,0.18630966078282807,0.3104258835796709,-2.3216466212032874
443,0.1549602607059095,0.1521229991763972,-1.7569693602893768,0.0,0.7423695882574667,0.9888492395050199,-1.5762585670565772,0.0,0.1521229991763972,0.3065367272358911,-2.0635060875252678
449,0.2828186588806205,0.1290688115018584,-1.6004028882147194,0.0,0.6956998821044627,1.0462282850980664,-1.4591095083219086,0.0,0.1290688115018584,0.31201692701602146,-1.912419815230741
455,0.5266107383352228,0.10890286555372275,-1.3147881737552105,0.0,0.7090790573943051,1.0113633563331756,-1.193831675392258,0.0,0.10890286555372275,0.25712717422621273,-1.5719153479814232
461,0.7321994186183787,0.09649125053394968,-1.0858858072780586,0.0,0.7374339136619388,0.9689252048721477,-0.9741596999157078,0.0,0.09649125053394968,0.20962781913040635,-1.295513626408465
467,0.8842530775365957,0.08628829734929826,-0.9038916410864051,0.0,0.7575382733743766,0.9274188224499874,-0.8007040182877684,0.0,0.08628829734929826,0.17216848692992917,-1.0760601280163342
473,0.9934325475709673,0.09396305679571938,-0.8904015694354606,0.0,0.8421273028700875,0.9240019692087347,-0.7726967245078549,0.0,0.09396305679571938,0.1567411812857336,-1.0471427507211941
479,46.934544966802754,45.36012192826555,-0.2561674244202462,45.92209042699964,0.9248077748393753,0.9365620166086827,-0.8489152516449388,45.244885040751356,0.11523688751419062,0.16669654017818908,-0.4228639645984353
485,143.90416106317954,141.04661274985253,1.22624043479153,143.53234199152064,0.8311695423486122,0.8277195168283228,-1.2870699875180356,140.87100621480886,0.1756065350436834,0.23946259187195146,0.9867778429195787
491,264.8242697156401,259.366423885199,3.7935933038770613,265.41058414552276,0.9880629997194869,0.6513672484508021,-2.225744678052943,258.91387446499186,0.452549420207162,0.41329418706393717,3.380299116813124
497,386.7209755604384,377.1946047304606,7.727758932367754,389.2570228543363,1.172103372513937,0.5006446839041814,-4.208795350316054,376.17489182630476,1.0197129041558428,0.7848606065850544,6.9428983257827
503,437.8736805887336,426.03735739785213,9.87762059184733,442.4294553231449,1.3859590900490075,0.3629293808488934,-6.304663205309224,424.2978763438788,1.7394810539733343,1.1797708276002428,8.697849764247088
509,433.5629503899111,422.73009965303675,8.63673702465287,440.59104592434795,1.6391365356324505,0.30086697647435034,-8.96809904654366,420.3612311132432,2.3688685397935276,1.4908632781193152,7.145873746533555
515,394.5060049338631,386.7895048723273,5.350165552528491,402.66769978211454,1.8837739119653703,0.2558125387133882,-10.30128129893017,384.14936190529664,2.6401429670306866,1.4933590617632473,3.8568064907652437
521,356.2262363575772,350.8164344538274,2.900733186814776,363.67927798368606,2.1776051811848434,0.20907470897188463,-9.839721516265618,348.12691821678163,2.689516237045791,1.2831477840488479,1.6175854027659278
527,236.72985647423806,235.26454632244042,-1.0338747193626963,243.1112984727713,1.9982281947369502,0.25463023046642713,-8.63430042373662,232.90423173260677,2.3603145898336364,1.2013393309281255,-2.2352140502908218
533,84.35010982090152,86.16766747888633,-4.105971533493694,87.63654390734334,1.8051070350713387,0.3073272435625552,-5.39886836507572,84.53237956277505,1.635287916111284,0.7998569778872153,-4.90582851138091
539,-0.855334070933542,1.0113386846354735,-3.900673283155925,0.0,1.6218680073398202,0.3721752331524643,-2.8493773114258265,0.0,1.0113386846354735,0.4606571504640732,-4.361330433619998
545,-0.3567402137220692,0.735175385614323,-3.076822950892529,0.0,1.4844980531152947,0.45276886079886264,-2.2940071276362266,0.0,0.735175385614323,0.35729752523624875,-3.434120476128778
551,-0.2765802666672452,0.5534119570482304,-2.7806273009393454,0.0,1.3319514991669743,0.5518455189087544,-2.160377284742974,0.0,0.5534119570482304,0.3212152137943369,-3.1018425147336823
557,-0.21459405720239522,0.4207614692790408,-2.5732470362381825,0.0,1.2126507883067335,0.6513672484508021,-2.0786120939599306,0.0,0.4207614692790408,0.2956695702519713,-2.8689166064901537
563,0.3028527753439263,0.33417922035479825,-1.9376484914395398,0.0,1.1488516631400554,0.6919622942409779,-1.537961182037107,0.0,0.33417922035479825,0.25248911531741564,-2.1901376067569553
569,0.6271283334021078,0.28426052088687825,-1.5202520007462184,0.0,1.0853499335138517,0.7167210851160334,-1.1749426852277771,0.0,0.28426052088687825,0.23333158495396378,-1.753583585700182
575,0.8170155570404057,0.25537710557724747,-1.2691271817080894,0.0,1.0176233499634542,0.7521305866857169,-0.9527383796087653,0.0,0.25537710557724747,0.23954741087972778,-1.508674592587817
581,0.6524243625694441,0.22587221138095373,-1.3904385815299691,0.0,0.9327326489754132,0.8244960668633221,-1.1048043532692913,0.0,0.22587221138095373,0.2653126549021386,-1.6557512364321079
587,0.5575365405798638,0.1855135816782976,-1.4149175509934677,0.0,0.8470381701423679,0.8913052730821973,-1.1808069026447015,0.0,0.1855135816782976,0.2728822464634214,-1.687799797456889
593,0.4173977915491085,0.14811269554812564,-1.4951595608345365,0.0,0.76152790910394,0.9724261083743858,-1.3165562259292172,0.0,0.14811269554812564,0.2852421745032967,-1.7804017353378332
599,0.46127018488487415,0.11658100660375202,-1.4054872893840922,0.0,0.7390011672008449,0.9923868262596227,-1.2701178085755933,0.0,0.11658100660375202,0.2510667442661386,-1.656554033650231
605,0.5419438174322773,0.09193770508008224,-1.2932446051355655,0.0,0.7375902176101004,0.9935674610284881,-1.1892138612063112,0.0,0.09193770508008224,0.21029996522747688,-1.5035445703630423
611,0.6058899763058898,0.0712218882057635,-1.1981642935928452,0.0,0.722221646315605,1.0066019461339304,-1.1229336161436456,0.0,0.0712218882057635,0.1833569153953974,-1.3815212089882425
617,0.5931612221436209,0.054066689474234694,-1.1801545370768696,0.0,0.6708118935764772,1.060832486476056,-1.1384831579089123,0.0,0.054066689474234694,0.18476157701778928,-1.3649161140946588
